,model,shot,SPC,PPC,excluded,dataset,Mean,std,speed
40,roberta-base,full,1000,5,None,storycloze,0.7752066115702478,0.0132013314468842,440.1001373450874
41,roberta-base,full,1000,5,None,yahoo,0.32399999999999995,0.045354161881794273,227.21889121903342
,model,shot,SPC,PPC,excluded,dataset,Mean,std,speed
0,roberta-large,0,1000,5,None,amazon_p,0.9391999999999999,0.010134100848126543,54.69358526622777
1,roberta-large,0,1000,5,None,copa,0.8236000000000001,0.008173126696680981,192.56961077368499
2,roberta-large,0,1000,5,None,emotion,0.4378,0.01386362146049871,81.5834059169434
3,roberta-large,0,1000,5,None,figqa,0.7153564899451553,0.013689806663832781,196.8491224745532
4,roberta-large,0,1000,5,None,mrpc,0.6942608695652174,0.00829613626434709,242.766329050658
5,roberta-large,0,1000,5,None,storycloze,0.9095041322314049,0.007470944104034953,129.94370327058783
6,roberta-large,0,1000,5,None,yahoo,0.4598,0.02125323504786977,142.8226697711772
7,roberta-large,32,1000,5,None,amazon_p,0.943,0.007968688725254578,54.23729391286164
8,roberta-large,32,1000,5,None,copa,0.8231999999999999,0.007823042886243138,194.18312533622642
9,roberta-large,32,1000,5,None,emotion,0.4364,0.014310835055998667,84.89563613955276
10,roberta-large,32,1000,5,None,figqa,0.7259597806215722,0.017634813147870847,195.63928803525167
11,roberta-large,32,1000,5,None,mrpc,0.6984347826086956,0.01913219139936856,238.55086122084737
12,roberta-large,32,1000,5,None,storycloze,0.9173553719008265,0.0016334078823183812,130.8731852648199
13,roberta-large,32,1000,5,None,yahoo,0.4726,0.02222161110270809,145.35539598829186
14,roberta-large,200,1000,5,None,amazon_p,0.9368000000000001,0.009497368056466969,54.82978280976265
15,roberta-large,200,1000,5,None,copa,0.8263999999999999,0.010899541274750938,193.99949786459766
16,roberta-large,200,1000,5,None,emotion,0.4378,0.01386362146049871,82.78077079035221
17,roberta-large,200,1000,5,None,figqa,0.7270566727605118,0.01865030263620779,194.96922374186823
18,roberta-large,200,1000,5,None,mrpc,0.7142028985507247,0.009092398342816284,238.8239546888508
19,roberta-large,200,1000,5,None,storycloze,0.9066115702479338,0.0094285985199212,132.06027006951336
20,roberta-large,200,1000,5,None,yahoo,0.46959999999999996,0.02486563894212251,146.78627438377293
21,roberta-large,500,1000,5,None,amazon_p,0.9314,0.009208691546577039,54.89591029526914
22,roberta-large,500,1000,5,None,copa,0.8244,0.01283744522870495,193.76162478620972
23,roberta-large,500,1000,5,None,emotion,0.44420000000000004,0.01649848477891229,85.00529955823723
24,roberta-large,500,1000,5,None,figqa,0.7120658135283364,0.0,197.29751860786686
25,roberta-large,500,1000,5,None,mrpc,0.7063188405797101,0.017379706277614617,239.2523328973297
26,roberta-large,500,1000,5,None,storycloze,0.909710743801653,0.008251539482527218,132.8979305492733
27,roberta-large,500,1000,5,None,yahoo,0.45899999999999996,0.006708203932499376,146.8852690022161
28,roberta-large,1000,1000,5,None,amazon_p,0.9443999999999999,0.005128352561983193,54.3520929078526
29,roberta-large,1000,1000,5,None,copa,0.8276,0.0029664793948382677,194.12838683432176
30,roberta-large,1000,1000,5,None,emotion,0.4492,0.01752712184016533,83.92739121862446
31,roberta-large,1000,1000,5,None,figqa,0.7153564899451554,0.01368980666383278,197.69645756898925
32,roberta-large,1000,1000,5,None,mrpc,0.7028405797101449,0.021384940728959193,237.37623257619612
33,roberta-large,1000,1000,5,None,storycloze,0.9109504132231405,0.007427966120763465,131.58929350411168
34,roberta-large,1000,1000,5,None,yahoo,0.45680000000000004,0.021913466179497933,147.13183464208618
35,roberta-large,full,1000,5,None,amazon_p,0.9418,0.005118593556827838,54.56348442342041
36,roberta-large,full,1000,5,None,copa,0.828,0.010198039027185577,193.33530721990024
37,roberta-large,full,1000,5,None,emotion,0.4556,0.014310835055998668,84.38305615672604
38,roberta-large,full,1000,5,None,figqa,0.7206581352833639,0.016862177342855313,196.90203931426888
39,roberta-large,full,1000,5,None,mrpc,0.7142028985507247,0.009092398342816284,238.81380141202348
40,roberta-large,full,1000,5,None,storycloze,0.9103305785123966,0.00840530810198676,130.32518133311982
41,roberta-large,full,1000,5,None,yahoo,0.46579999999999994,0.018088670487352014,145.73029095017048
,model,shot,SPC,PPC,excluded,dataset,Mean,std,speed
0,roberta-base,0,4000,1,None,amazon_p,0.9096,0.016592166826548016,156.07406617826229
1,roberta-base,0,4000,1,None,copa,0.748,0.021679483388678818,521.9387783940767
2,roberta-base,0,4000,1,None,emotion,0.49799999999999994,0.04807546151624547,125.61871202429333
3,roberta-base,0,4000,1,None,figqa,0.5910420475319926,0.004989888140386189,538.7532808931022
4,roberta-base,0,4000,1,None,mrpc,0.5838840579710145,0.17054388699482706,702.2924967557617
5,roberta-base,0,4000,1,None,storycloze,0.7799586776859503,0.034410287086666234,409.6492618914155
6,roberta-base,0,4000,1,None,yahoo,0.41180000000000005,0.021253235047869766,229.69138310033577
,model,shot,SPC,PPC,excluded,dataset,Mean,std,speed
0,roberta-base,0,20000,5,None,amazon_p,0.92872,0.004390899680020018,156.25039084222686
1,roberta-base,0,20000,5,None,copa,0.7188800000000001,0.010965400129498239,533.9801299421258
2,roberta-base,0,20000,5,None,emotion,0.46743999999999997,0.02655833202593868,126.06845246378741
3,roberta-base,0,20000,5,None,figqa,0.5912614259597806,0.015055929583096551,551.6553986474659
4,roberta-base,0,20000,5,None,mrpc,0.6717681159420289,0.03692330419632873,717.820021712588
